order_date,region,state,category,sub_category,product,customer_segment,sales,quantity,discount,profit,shipping_cost
2024-01-03,East,New York,Technology,Phones,iPhone 15 Pro,Consumer,1299,2,0.05,389.7,25.5
2024-01-03,East,New York,Furniture,Chairs,Ergonomic Office Chair,Corporate,450,3,0.1,90,35.2
2024-01-05,West,California,Office Supplies,Paper,Premium Copy Paper,Consumer,45,10,0,18,5.5
2024-01-05,West,California,Technology,Laptops,MacBook Air M3,Corporate,1199,1,0.15,179.85,0
2024-01-07,South,Texas,Furniture,Tables,Standing Desk Pro,Consumer,899,1,0.05,179.8,45
2024-01-07,South,Texas,Office Supplies,Binders,Heavy Duty Binder Set,Home Office,32,5,0.2,4.8,8.5
2024-01-10,Central,Illinois,Technology,Accessories,USB-C Hub,Consumer,79,4,0,31.6,6
2024-01-10,Central,Illinois,Furniture,Bookcases,5-Shelf Bookcase,Corporate,299,2,0.1,44.85,28
2024-01-12,East,Pennsylvania,Office Supplies,Storage,File Cabinet,Home Office,189,1,0,56.7,15
2024-01-12,East,Pennsylvania,Technology,Phones,Samsung Galaxy S24,Consumer,999,3,0.1,199.8,18
2024-01-15,West,Washington,Furniture,Chairs,Gaming Chair RGB,Consumer,349,2,0.05,69.8,22
2024-01-15,West,Washington,Office Supplies,Art,Marker Set Pro,Home Office,28,8,0,11.2,4
2024-01-18,South,Florida,Technology,Laptops,Dell XPS 15,Corporate,1599,1,0.2,159.9,0
2024-01-18,South,Florida,Furniture,Tables,Conference Table,Corporate,1200,1,0.15,120,65
2024-01-20,Central,Ohio,Office Supplies,Paper,Recycled Notebook,Consumer,12,20,0.1,3.6,3
2024-01-20,Central,Ohio,Technology,Accessories,Wireless Mouse,Consumer,49,6,0,19.6,5
2024-01-22,East,Massachusetts,Furniture,Chairs,Mesh Task Chair,Corporate,275,4,0.1,55,30
2024-01-22,East,Massachusetts,Technology,Phones,Google Pixel 8,Consumer,699,2,0,209.7,12
2024-01-25,West,Oregon,Office Supplies,Binders,Presentation Binder,Home Office,18,12,0.05,5.4,6
2024-01-25,West,Oregon,Technology,Laptops,ThinkPad X1 Carbon,Corporate,1849,1,0.1,277.35,0
2024-01-28,South,Georgia,Furniture,Bookcases,Corner Bookshelf,Consumer,199,2,0,59.7,18
2024-01-28,South,Georgia,Office Supplies,Storage,Desktop Organizer,Consumer,35,5,0.1,7,4.5
2024-01-30,Central,Michigan,Technology,Accessories,Mechanical Keyboard,Consumer,159,3,0,63.6,8
2024-01-30,Central,Michigan,Furniture,Tables,Adjustable Desk,Home Office,599,1,0.05,89.85,35
2024-02-02,East,New Jersey,Office Supplies,Paper,Legal Pad Bundle,Corporate,24,15,0,9.6,5
2024-02-02,East,New Jersey,Technology,Phones,OnePlus 12,Consumer,799,2,0.05,159.8,10
2024-02-05,West,Colorado,Furniture,Chairs,Executive Leather Chair,Corporate,899,1,0.1,134.85,40
2024-02-05,West,Colorado,Office Supplies,Art,Colored Pencil Set,Consumer,22,10,0,8.8,3.5
2024-02-08,South,North Carolina,Technology,Laptops,HP Spectre x360,Consumer,1399,1,0.15,139.9,0
2024-02-08,South,North Carolina,Furniture,Tables,Folding Table,Home Office,89,3,0,26.7,12
2024-02-10,Central,Minnesota,Office Supplies,Binders,Ring Binder Pack,Consumer,15,20,0.1,3,4
2024-02-10,Central,Minnesota,Technology,Accessories,Webcam HD,Corporate,129,2,0,51.6,7
2024-02-12,East,Virginia,Furniture,Bookcases,Wall Mounted Shelf,Consumer,149,3,0.05,33.53,10
2024-02-12,East,Virginia,Office Supplies,Storage,Drawer Unit,Corporate,245,1,0,73.5,20
2024-02-15,West,Arizona,Technology,Phones,Nothing Phone 2,Consumer,599,2,0,179.7,9
2024-02-15,West,Arizona,Furniture,Chairs,Stacking Chair Set,Home Office,180,4,0.1,27,15
2024-02-18,South,Tennessee,Office Supplies,Paper,Sticky Notes Bulk,Consumer,18,25,0.05,5.4,3
2024-02-18,South,Tennessee,Technology,Laptops,ASUS ROG Zephyrus,Consumer,2199,1,0.1,329.85,0
2024-02-20,Central,Wisconsin,Furniture,Tables,Round Meeting Table,Corporate,450,2,0.05,90,30
2024-02-20,Central,Wisconsin,Office Supplies,Art,Whiteboard Markers,Consumer,16,12,0,6.4,2.5
2024-02-22,East,Connecticut,Technology,Accessories,Monitor Stand,Consumer,89,3,0,35.6,8
2024-02-22,East,Connecticut,Furniture,Chairs,Kneeling Chair,Home Office,225,2,0.1,33.75,14
2024-02-25,West,Nevada,Office Supplies,Binders,Expanding File,Corporate,28,6,0,11.2,5
2024-02-25,West,Nevada,Technology,Phones,Motorola Edge 40,Consumer,499,3,0.05,112.28,8
2024-02-28,South,Alabama,Furniture,Bookcases,Industrial Bookcase,Consumer,399,1,0,119.7,25
2024-02-28,South,Alabama,Office Supplies,Storage,Label Maker Pro,Home Office,69,2,0.1,10.35,6
2024-03-02,Central,Indiana,Technology,Laptops,Surface Pro 10,Corporate,1599,1,0.15,159.9,0
2024-03-02,Central,Indiana,Furniture,Tables,L-Shaped Desk,Consumer,749,1,0,224.7,42
2024-03-05,East,Maryland,Office Supplies,Paper,Cardstock Pack,Consumer,32,8,0,12.8,4
2024-03-05,East,Maryland,Technology,Accessories,Docking Station,Corporate,249,2,0.05,62.25,10
